47 uF; 5079; 2205;  0;C1
47 uF; 4764; 1299;180;C7
4k; 4843; 2480;  0;R3
5k; 5118; 2480;  0;RJ1
LED;  353;  287;  0;U$1
LED;  353; 1047;  0;U$2
LED;  353; 1807;  0;U$3
LED;  353; 2567;  0;U$4
LED; 1113;  287;  0;U$5
LED; 1113; 1047;  0;U$6
LED; 1113; 1807;  0;U$7
LED; 1113; 2567;  0;U$8
LED; 1873;  287;  0;U$9
LED; 1873; 1047;  0;U$10
LED; 1873; 1807;  0;U$11
LED; 1873; 2567;  0;U$12
LED; 2633;  287;  0;U$13
LED; 2633; 1047;  0;U$14
LED; 2633; 1807;  0;U$15
LED; 2633; 2567;  0;U$16
LED; 3392;  287;  0;U$17
LED; 3392; 1047;  0;U$18
LED; 3392; 1807;  0;U$19
LED; 3392; 2567;  0;U$20
LED; 4152;  287;  0;U$21
LED; 4152; 1047;  0;U$22
LED; 4152; 1807;  0;U$23
LED; 4152; 2567;  0;U$24
PVX012A0XV1; 4996; 1776; 90;U$25
