Designator,Mid X,Mid Y,Layer,Rotation
C1,46.36,43.18,Top,0
C2,-23.1,43.09,Top,270
C3,50.16,43.18,Top,0
C4,5.49,29.18,Top,90
C5,5.48,35.06,Top,90
C6,17.95,36.16,Top,0
C7,-5.6,49.59,Top,90
C8,-23.1,49.48,Top,0
D1,43.67,29.27,Top,270
D2,35.76,29.27,Top,270
D3,51.57,29.27,Top,270
D4,59.17,29.37,Top,270
D5,26.37,29.17,Top,270
Q1,32.27,29.27,Top,90
Q2,40.07,29.27,Top,90
Q3,48.37,29.27,Top,90
Q4,56.07,29.37,Top,90
Q5,23.47,29.17,Top,90
R1,32.27,32.42,Top,0
R2,40.27,32.42,Top,0
R3,48.47,32.42,Top,0
R4,56.07,32.52,Top,0
R5,46.36,39.12,Top,180
R6,46.36,41.15,Top,0
R7,-23.1,47.09,Top,0
R8,14.13,36.23,Top,0
R9,50.16,39.12,Top,180
R10,50.16,41.15,Top,0
R11,23.47,32.32,Top,0
R12,9.43,36.23,Top,180
R13,-23.1,51.89,Top,0
SJ1,-10.21,22.24,Top,180
SJ2,-17.09,22.24,Top,0
U$1,-14.2,46.69,Top,180
U$2,14.03,27.13,Top,90
U$10,5.51,23.39,Top,90
U$11,-5.55,43.6,Top,90
